City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,hyderabad,17.3753,78.4744,69.31,73,63,6.91,IN,1675720440
84,bambous virieux,-20.3428,57.7575,79.05,89,75,11.5,MU,1675720687
85,tuktoyaktuk,69.4541,-133.0374,-38.2,67,75,2.3,CA,1675720687
86,saskylakh,71.9167,114.0833,-28.23,100,98,2.95,RU,1675720274
87,khatanga,71.9667,102.5,-41.21,100,56,3.24,RU,1675720688
88,la montanita,1.4766,-75.4398,87.94,44,98,2.86,CO,1675720688
89,sao filipe,14.8961,-24.4956,68.59,61,9,17.2,CV,1675720689
90,saint george,37.1041,-113.5841,53.44,37,100,11.01,US,1675720636
91,ous,60.9058,61.5186,-12.42,100,100,3.33,RU,1675720690
92,mehamn,71.0357,27.8492,39.15,81,75,25.32,NO,1675720690
93,grenfell,-33.9,148.1667,70.45,49,0,4.9,AU,1675720115
94,bagdarin,54.4333,113.6,-10.53,95,99,3.87,RU,1675720691
95,gat,31.61,34.7642,52.09,100,89,26.64,IL,1675720083
96,guapi,2.5708,-77.8854,80.17,84,89,5.28,CO,1675720692
97,krasnoselkup,65.7,82.4667,-2.49,98,100,4.85,RU,1675720295
98,saint-philippe,-21.3585,55.7679,76.59,85,85,10.78,RE,1675720237
99,kaitangata,-46.2817,169.8464,69.48,45,11,10.6,NZ,1675720257
100,shagonar,51.5333,92.8,-9.18,98,97,1.57,RU,1675720694
101,pindiga,9.9833,10.9333,79.25,16,96,14.99,NG,1675720694
102,tsarychanka,48.937,34.4786,25.95,82,100,11.95,UA,1675720695
103,guerrero negro,27.9769,-114.0611,63.9,51,98,18.81,MX,1675720695
104,lucapa,-8.4192,20.7447,65.39,87,70,2.73,AO,1675720266
105,inuvik,68.3499,-133.7218,-24.74,71,100,4.61,CA,1675720075
106,te anau,-45.4167,167.7167,56.82,89,99,7.96,NZ,1675720696
107,sorong,-0.8833,131.25,78.55,82,100,3.69,ID,1675720697
108,grindavik,63.8424,-22.4338,28.87,86,75,33.38,IS,1675720116
109,mataura,-46.1927,168.8643,67.06,52,62,10.47,NZ,1675720211
110,mayo,38.8876,-76.5119,49.24,56,100,16.11,US,1675720369
111,coolum beach,-26.5333,153.1,80.11,69,35,12.39,AU,1675720698
